id,name
report_19,Balance as of December 31 2017
report_20,Apropriation of retained ernings (SHU) for general reserve
report_21,Apropriation of retained ernings (SHU) for donation reserve
report_22,Apropriation of retained ernings (SHU) for capital working reserve
report_23,Members retained earnings (SHU) payment to resign
report_24,Retained earnings (SHU) payment to members
report_25,Members retained earnings (SHU) payment to BOD & BOC
report_26,Additional members savings
report_27,Withdrawal members savings
report_28,Current Earnings (SHU) for the year
report_29,Other Comprehensive Income
report_30,Retained earnings (SHU) payment to resigned members
report_31,Balance as of Jan 31 2018